id	decision	status	target_asset	evidence	notes
wechat-0059	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-003.md	Absorbed private Skill registry governance as distribution boundary; install command and project promotion remain report-only.
wechat-0060	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/workspace-maintenance-guide.md;agent-dev-kit/templates/context/project-map.md	reports/wechat-absorb-batch-2026-05-23-p0-003.md	Absorbed enterprise AGENTS map-page contract: project map, commands, restrictions, completion and escalation.
wechat-0062	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/workspace-maintenance-guide.md;agent-dev-kit/docs/runbooks/planning-execution-loop.md	reports/wechat-absorb-batch-2026-05-23-p0-003.md	Absorbed real-project onboarding checklist as low-risk pilot, fixed commands, environment boundary, review and CI gate.
wechat-0063	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/prompt-evolution-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-003.md	Absorbed engineering task card fields: background, goal, scope, constraints, verification, output and escalation.
wechat-0065	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/optional-skills/adk-skill-composition-governance/references/adk-skill-lifecycle.md	reports/wechat-absorb-batch-2026-05-23-p0-003.md	Absorbed concise Skill structure and description-quality reminders; external marketplaces and install commands remain report-only.
wechat-0069	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/planning-execution-loop.md	reports/wechat-absorb-batch-2026-05-23-p0-003.md	Absorbed SDD staged review chain and spec-as-SSOT discipline; Superpowers/gstack project claims remain report-only under adk-first.
wechat-0072	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/security-supply-chain.md;agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-003.md	Duplicate SkillHub/private registry article; governance already absorbed from wechat-0059, install path remains report-only.
wechat-0074	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/workspace-maintenance-guide.md;agent-dev-kit/templates/context/project-map.md	reports/wechat-absorb-batch-2026-05-23-p0-003.md	Absorbed compact project AGENTS template fields without copying article template verbatim.
wechat-0075	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/spec-chain-delivery.md;agent-dev-kit/docs/runbooks/token-context-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-004.md	Absorbed E2E value metrics, code-as-debt framing, left-shift spec/API/test checks and context state discipline; organization claims remain report-only.
wechat-0085	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/lead-agent-convergence-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-004.md	Absorbed debate-first mode for complex architecture decisions; no new multi-agent debate skill.
wechat-0086	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-004.md	Hot Skill recommendation list is candidate discovery only; no direct Skill adoption by popularity.
wechat-0087	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/token-context-governance.md;agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-004.md	Absorbed context/MCP cost and workflow gate reminders; external configuration suite and install commands remain report-only.
wechat-0092	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/token-context-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-004.md	Absorbed context rot, thin orchestrator, file-as-memory and wave execution guidance; GSD project/install claims remain report-only.
wechat-0096	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-004.md	Absorbed MCP tools/resources/prompts, transport and handshake readiness gates; tutorial implementation remains report-only.
wechat-0097	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-004.md	Absorbed stdio MCP server boundary and JSON-RPC smoke expectations; sample server code not imported.
wechat-0100	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-004.md	Absorbed high-risk reverse-engineering/dynamic-capture boundary; external JS reverse Skill remains report-only.
wechat-0101	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-004.md	Absorbed platform-specific Skill frontmatter compatibility mapping; Claude-specific API claims remain report-only.
wechat-0102	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-004.md	Generic Skills overview duplicates existing lifecycle/discovery guidance; no additional asset change.
wechat-0103	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/memory-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-005.md	Absorbed memory implementation boundary, namespace separation and semantic retrieval as candidate recall only; sample LangChain code and embedding config remain report-only.
wechat-0104	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-005.md	Absorbed MCP capability selection by risk and lifecycle category; popular server list and installation claims remain report-only.
wechat-0110	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-005.md	Absorbed private API/database MCP connector boundary: thin adapter, read-only first, least privilege, credentials outside assets.
wechat-0111	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-005.md	Absorbed Skill coverage audit, trigger-description quality and usage metrics as iteration evidence; Claude-specific hooks remain platform mapping only.
wechat-0112	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/prompt-evolution-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-005.md	Absorbed prompt layering contract for system rules, few-shot examples, user task and retrieved knowledge; model/API snippets remain report-only.
wechat-0114	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-005.md	Absorbed remote MCP transport and handshake compatibility checks; Rust dependencies and sample server code remain report-only.
wechat-0117	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/planning-execution-loop.md	reports/wechat-absorb-batch-2026-05-23-p0-005.md	Absorbed Harness Engineering as goal/context/tool/execution/eval/handoff layering; trend claims remain report-only.
wechat-0118	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-005.md	Absorbed MCP connector design as thin translation layer with schema descriptions and file/data boundaries; tutorial code remains report-only.
wechat-0119	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-005.md	Absorbed Skill Factory observe-propose-confirm-generate-validate boundary; Hermes project/install commands remain report-only.
wechat-0122	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-005.md	Absorbed MCP pitfalls: transport smoke, structured config edits, read-only baseline and capability mismatch triage; implementation claims remain report-only.
wechat-0123	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/planning-execution-loop.md	reports/wechat-absorb-batch-2026-05-23-p0-006.md	Absorbed Planner/Worker/Critic loop and structured task graph discipline; Hermes framework code remains report-only.
wechat-0127	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-006.md	Absorbed long-running automation gates for cron/systemd/bot workflows: env, logs, output limits, notifications, retry and disable path.
wechat-0131	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-006.md	Absorbed production MCP readiness: health/ready, auth/scope, structured logs, error taxonomy, timeout, inspector and tests; SDK code remains report-only.
wechat-0132	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-006.md	Absorbed MCP transport/config selection and configuration trust-layer priority; OpenCode project and sample config remain report-only.
wechat-0135	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/memory-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-006.md	Absorbed memory strategy matrix for raw snippets, summaries, fact extraction, vector retrieval and graphs; framework code remains report-only.
wechat-0136	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-006.md	Generic MCP USB-C overview duplicates existing host/client/server, resources/tools/prompts and transport guidance.
wechat-0137	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/skill-agent-runtime-model.md	reports/wechat-absorb-batch-2026-05-23-p0-006.md	Generic Hermes Skills overview duplicates existing Skill/Tools/Memory boundary, progressive disclosure and Skill Factory guidance.
wechat-0138	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-006.md	Absorbed plugin promotion sequence and plugin component review for skills/MCP/hooks/apps/marketplace; Codex plugin fields remain platform mapping only.
wechat-0143	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-006.md	Hot Hermes Skill list is candidate discovery only; no Skill adoption by popularity or install command.
wechat-0144	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-006.md	Absorbed stable MCP tool-call rules: precise descriptions, error class separation and timeout protection.
wechat-0147	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/optional-skills/adk-skill-composition-governance/references/adk-skill-lifecycle.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Five Skill pattern overview duplicates existing Tool Wrapper/Generator/Reviewer/Inversion/Pipeline pattern guidance and hard gates.
wechat-0151	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/skill-agent-runtime-model.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Absorbed Skill script admission boundary; install paths, GitHub examples, weather demo and snippets remain report-only.
wechat-0155	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Absorbed deterministic source-of-truth gate for scoring, validation, counting, formatting and status decisions; organization examples remain report-only.
wechat-0158	MERGE	absorbed-method-only	agent-dev-kit/docs/skill-agent-runtime-model.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Absorbed external config-share layering gate; MCP servers, API keys, provider relays, hooks, install commands and platform semantics remain report-only.
wechat-0161	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/planning-execution-loop.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Absorbed vertical business automation Skill boundary: adapter/core/data layers, I/O schema, validation, errors, retry/resume and approval points; OCR/API code remains report-only.
wechat-0162	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/skill-agent-runtime-model.md;agent-dev-kit/docs/runbooks/token-context-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Generic Skills/Markdown/prompt-cache overview is platform and cost dependent; existing runtime and token governance already cover stable boundaries.
wechat-0163	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/optional-skills/adk-skill-composition-governance/references/adk-skill-lifecycle.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Long variant of the five Skill pattern article; existing ADK lifecycle guidance is stricter and no new gate was added.
wechat-0164	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/optional-skills/adk-skill-composition-governance/references/adk-skill-lifecycle.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Short duplicate variant of the five Skill pattern article; retained only as reference.
wechat-0167	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Awesome Codex Skills marketplace article is candidate discovery only; star count, clone commands and popularity claims are not adoption evidence.
wechat-0169	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/mcp-governance.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Generic MCP overview duplicates existing tools/resources/prompts, permission, logging and automation risk gates.
wechat-0176	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Absorbed platform-specific Skill field mapping for command/capabilities/mcp_servers/env injection; Antigravity paths, scripts and platform semantics remain report-only.
wechat-0184	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Skill marketplace comparison is candidate discovery only; platform rankings, mirrors, install scripts and marketplace claims remain report-only.
wechat-0187	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Top Claude Code Skills list repeats known candidate categories and contains install commands, repo links and popularity claims; no direct adoption.
wechat-0189	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/planning-execution-loop.md;agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-007.md	Framework comparison and production workflow article is reference-only because external repos, install flows and framework claims require separate security review; existing planning gates cover stable method.
wechat-0190	MERGE	absorbed-method-only	agent-dev-kit/docs/skill-agent-runtime-model.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Absorbed team-collaboration runtime gates for memory scope, access control, adapter parity and rollback/audit; source code, install, GitHub and efficiency claims remain report-only.
wechat-0193	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/planning-execution-loop.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Framework comparison contains unstable external repo/version/community claims; existing ADK lifecycle/planning/verification covers durable method.
wechat-0194	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Agent Skills vs Superpowers comparison and install guidance duplicates existing reuse threshold/lifecycle/composition boundaries.
wechat-0196	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/planning-execution-loop.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Short automation scenario list and efficiency claims lack stable state/recovery/approval gates.
wechat-0197	MERGE	absorbed-method-only	agent-dev-kit/docs/skill-agent-runtime-model.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Absorbed CLI/script as execution entry layer distinct from Skill method, Agent decision, Workflow state and MCP/tool capability.
wechat-0200	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/memory-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Absorbed facts extraction plus ADD/UPDATE/DELETE/NONE memory evolution gate; mem0/vector/graph/RAG implementation remains report-only.
wechat-0204	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/memory-governance.md;agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Hermes soul/self-learning/session-search/gateway features are platform-specific and already covered by Skill Factory, memory and autonomous trigger governance.
wechat-0206	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/planning-execution-loop.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Hermes workflow YAML/status/parallel examples duplicate existing state machine, checkpoint and resume guidance.
wechat-0208	REJECT	rejected	none	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Hermes install/Hub/CLI/tool registration/API/GitHub tutorial conflicts with method-only boundary; no external code or platform semantics imported.
wechat-0210	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/memory-governance.md;agent-dev-kit/docs/runbooks/token-context-governance.md;agent-dev-kit/docs/skill-agent-runtime-model.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Absorbed small resident memory, on-demand session search, memory consolidation threshold, and profile isolation boundaries; provider/Telegram/profile commands remain report-only.
wechat-0213	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Antigravity Skills recommendation/install article is candidate discovery only; external links and install paths remain report-only.
wechat-0215	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/planning-execution-loop.md;agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Superpowers flow, TDD, debugging and verification guidance overlap existing ADK planning/debug/verification routes.
wechat-0216	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/skill-agent-runtime-model.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Absorbed cross-host runtime compatibility gate for discovery timing, rule precedence, memory/context injection, sub-agent delegation and sandbox/approval/hooks.
wechat-0219	REJECT	rejected	none	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Codex advanced tutorial contains unverified config fields, commands, CI/CD snippets, install flows, internal marketplace and efficiency claims; rejected from ADK core.
wechat-0227	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Skills resource list is candidate discovery only; external repos, package managers, marketplace and popularity claims remain report-only.
wechat-0229	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/memory-governance.md;agent-dev-kit/templates/memory/memory-candidate.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Absorbed memory candidate inbox, scoring, sensitive blocking, conflict_review and project/global scope boundaries; PowerShell install scripts remain report-only.
wechat-0230	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/memory-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Cognee graph+vector memory article is tool promotion; existing memory governance already treats graph/vector as implementation options.
wechat-0231	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Skill development archive index is learning path/reference only, not a durable ADK gate.
wechat-0232	REFERENCE_ONLY	reference-only	agent-dev-kit/docs/runbooks/skill-curation-delivery.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Generic Skill development/packaging summary duplicates existing ownership, scope, dependency and verification gates.
wechat-0233	MERGE	absorbed-method-only	agent-dev-kit/docs/skill-agent-runtime-model.md;agent-dev-kit/docs/runbooks/mcp-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Absorbed Agent capability versus autonomous trigger boundary; scheduled/event triggers need workflow/runtime owner, approval, dry-run, logs and disable path.
wechat-0234	MERGE	absorbed-method-only	agent-dev-kit/docs/skill-agent-runtime-model.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Absorbed Automation/Workflow/Agent lowest-sufficient-abstraction boundary to avoid over-agentizing deterministic tasks.
wechat-0235	REJECT	rejected	none	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Dify/n8n platform setup and low-code workflow templates are prohibited install/config semantics; no ADK asset imported.
wechat-0237	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/token-context-governance.md;agent-dev-kit/templates/context/project-map.md;agent-dev-kit/docs/skill-agent-runtime-model.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Absorbed minimal self-contained context packet, short layered project map, context rot stop/rebuild and narrow subagent context boundaries; attention metrics remain report-only.
wechat-0238	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/memory-governance.md	reports/wechat-absorb-batch-2026-05-23-p0-008.md	Absorbed multi-factor recall ranking and auditable forgetting/demotion thresholds; agent-io/Rust/SQLite/embedding/vector code remains report-only.
wechat-0241	REJECT	rejected	none	reports/wechat-absorb-batch-2026-05-23-p0-009.md	External skill pack includes install scripts, browser/screenshot and media download style capabilities; no new durable ADK gate, and external repo/toolchain remains rejected.
wechat-0243	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/memory-governance.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-009.md	Absorbed memory backend capability matrix for data model, query mode, consistency, isolation, backup, audit and cost; database repos, APIs and embedding implementations remain report-only.
wechat-0244	MERGE	absorbed-method-only	agent-dev-kit/docs/runbooks/memory-governance.md;agent-dev-kit/docs/runbooks/security-supply-chain.md	reports/wechat-absorb-batch-2026-05-23-p0-009.md	Absorbed resident versus retrievable memory boundary plus write, recall, pruning, scope, backup and audit gates; Hermes/Hindsight install and schema details remain report-only.
